         ps       /tb_rv32im_soc/DUT/pc  /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_we_o                /tb_rv32im_soc/DUT/U_SDRAM/state  /tb_rv32im_soc/sdram_addr                         
          delta         /tb_rv32im_soc/DUT/instr  /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_adr_o               /tb_rv32im_soc/sdram_cs_n       /tb_rv32im_soc/sdram_dq                    
           /tb_rv32im_soc/DUT/U_CPU/bus_stall_wire         /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_dat_o       /tb_rv32im_soc/sdram_ras_n                                                
          /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_cyc_o         /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_ack_i       /tb_rv32im_soc/sdram_cas_n                                              
            /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_stb_o                /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_dat_i  /tb_rv32im_soc/sdram_we_n                                           
          0  +0            32'hXXXXXXXX ******** U U U                           U ********* ******** U ********      ST_BOOT_WAIT U U U  U           12'hXXX **** 
    1050000  +4            32'h0000014C ******** 1 0 0                           1 ********* ******** 0 ********     ST_READ_DATA2 0 1 1  1           12'h000 **** 
    1050000  +5            32'h0000014C ******** 1 1 1                           1 ********* ******** 0 ********     ST_READ_DATA2 0 1 1  1           12'h000 **** 
    1070000  +2            32'h0000014C ******** 1 1 1                           1 ********* ******** 1 ********      ST_PRECHARGE 0 1 1  1           12'h000 **** 
    1070000  +3            32'h0000014C ******** 1 1 1                           1 ********* ******** 1 ********      ST_PRECHARGE 0 1 1  1           12'h000 **** 
    1070000  +4            32'h0000014C ******** 0 1 1                           0 ********* ******** 1 ********      ST_PRECHARGE 0 1 1  1           12'h000 **** 
    1070000  +5            32'h0000014C ******** 0 0 0                           0 ********* ******** 1 ********      ST_PRECHARGE 0 1 1  1           12'h000 **** 
    1090000  +2            32'h0000014C ******** 0 0 0                           0 ********* ******** 0 ********           ST_IDLE 0 0 1  0           12'h400 **** 
    1090000  +4            32'h00000150 ******** 0 0 0                           0 ********* ******** 0 ********           ST_IDLE 0 0 1  0           12'h400 **** 
    1090000  +5            32'h00000150 ******** 0 0 0                           0 ********* ******** 0 ********           ST_IDLE 0 0 1  0           12'h400 **** 
    1110000  +2            32'h00000150 ******** 0 0 0                           0 ********* ******** 0 ********           ST_IDLE 0 1 1  1           12'h400 **** 
    1110000  +4            32'h00000154 ******** 0 0 0                           0 ********* ******** 0 ********           ST_IDLE 0 1 1  1           12'h400 **** 
    1110000  +5            32'h00000154 ******** 0 0 0                           0 ********* ******** 0 ********           ST_IDLE 0 1 1  1           12'h400 **** 
    1130000  +4            32'h00000158 ******** 1 0 0                           1 ********* ******** 0 ********           ST_IDLE 0 1 1  1           12'h400 **** 
    1130000  +5            32'h00000158 ******** 1 1 1                           1 ********* ******** 0 ********           ST_IDLE 0 1 1  1           12'h400 **** 
    1150000  +2            32'h00000158 ******** 1 1 1                           1 ********* ******** 0 ********         ST_ACTIVE 0 0 1  1           12'h000 **** 
    1150000  +4            32'h00000158 ******** 0 1 1                           0 ********* ******** 0 ********         ST_ACTIVE 0 0 1  1           12'h000 **** 
    1150000  +5            32'h00000158 ******** 0 0 0                           0 ********* ******** 0 ********         ST_ACTIVE 0 0 1  1           12'h000 **** 
    1170000  +2            32'h00000158 ******** 0 0 0                           0 ********* ******** 0 ********         ST_ACTIVE 0 1 1  1           12'h000 **** 
    1170000  +4            32'h0000015C ******** 0 0 0                           0 ********* ******** 0 ********         ST_ACTIVE 0 1 1  1           12'h000 **** 
    1170000  +5            32'h0000015C ******** 0 0 0                           0 ********* ******** 0 ********         ST_ACTIVE 0 1 1  1           12'h000 **** 
    1190000  +4            32'h00000160 ******** 1 0 0                           1 ********* ******** 0 ********         ST_ACTIVE 0 1 1  1           12'h000 **** 
    1190000  +5            32'h00000160 ******** 1 1 1                           1 ********* ******** 0 ********         ST_ACTIVE 0 1 1  1           12'h000 **** 
    1210000  +2            32'h00000160 ******** 1 1 1                           1 ********* ******** 0 ********      ST_WRITE_CMD 0 1 1  1           12'h000 **** 
    1210000  +4            32'h00000160 ******** 0 1 1                           0 ********* ******** 0 ********      ST_WRITE_CMD 0 1 1  1           12'h000 **** 
    1210000  +5            32'h00000160 ******** 0 0 0                           0 ********* ******** 0 ********      ST_WRITE_CMD 0 1 1  1           12'h000 **** 
    1230000  +2            32'h00000160 ******** 0 0 0                           0 ********* ******** 0 ********    ST_WRITE_DATA2 0 1 0  0           12'h008 **** 
    1230000  +3            32'h00000160 ******** 0 0 0                           0 ********* ******** 0 ********    ST_WRITE_DATA2 0 1 0  0           12'h008 **** 
    1230000  +4            32'h00000164 ******** 0 0 0                           0 ********* ******** 0 ********    ST_WRITE_DATA2 0 1 0  0           12'h008 **** 
    1230000  +5            32'h00000164 ******** 0 0 0                           0 ********* ******** 0 ********    ST_WRITE_DATA2 0 1 0  0           12'h008 **** 
    1250000  +2            32'h00000164 ******** 0 0 0                           0 ********* ******** 0 ********      ST_WRITE_REC 0 1 1  1           12'h008 **** 
    1250000  +3            32'h00000164 ******** 0 0 0                           0 ********* ******** 0 ********      ST_WRITE_REC 0 1 1  1           12'h008 **** 
    1250000  +4            32'h00000168 ******** 0 0 0                           0 ********* ******** 0 ********      ST_WRITE_REC 0 1 1  1           12'h008 **** 
    1250000  +5            32'h00000168 ******** 0 0 0                           0 ********* ******** 0 ********      ST_WRITE_REC 0 1 1  1           12'h008 **** 
    1270000  +3            32'h00000168 ******** 0 0 0                           0 ********* ******** 0 ********      ST_WRITE_REC 0 1 1  1           12'h008 **** 
    1270000  +4            32'h0000016C ******** 0 0 0                           0 ********* ******** 0 ********      ST_WRITE_REC 0 1 1  1           12'h008 **** 
    1270000  +5            32'h0000016C ******** 0 0 0                           0 ********* ******** 0 ********      ST_WRITE_REC 0 1 1  1           12'h008 **** 
